Keyword,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Tomas Marquez,https://x.com/TomasMa16498730,TomasMa16498730,False,2023-01-01 01:56:24+00:00,False,"Free unlimited data, calls, text with an ID card and EBT card in America. What’s next, free electric vehicles for welfare recipients?

America is being dismantled from within. https://t.co/SQtcFlTBBM",1609367907355467778,0,3,7,247,1,https://pbs.twimg.com/ext_tw_video_thumb/1609367614471413761/pu/img/9Yj0o8MnR_y1tUxN.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Ezer,https://x.com/EzerRatchaga,EzerRatchaga,False,2023-01-01 17:06:22+00:00,False,"👉 10 years of EV growth

In 2011, around 55,000 electric vehicles (EVs) were sold around the world. 10 years later in 2021, that figure had grown close to 7 million vehicles. https://t.co/cKBgx3jW8r",1609596907940380673,3,16,52,3044,5,https://pbs.twimg.com/media/FlZv2uoaEAENdpE.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",CNBC,https://x.com/CNBC,CNBC,True,2023-01-01 13:42:00+00:00,False,The world’s first commercial solar electric vehicles are hitting the U.S. and European markets in the next few years. That's right: cars powered by the sun are coming. https://t.co/9Dz2IgXQhN https://t.co/vTKUtsE654,1609545476730224641,20,47,95,57647,3,https://pbs.twimg.com/amplify_video_thumb/1597238839566737408/img/-tRN0bdG_tzYdA1f.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",CNBC,https://x.com/CNBC,CNBC,True,2023-01-01 15:04:00+00:00,False,Nickel is a key component in most lithium-ion batteries used in electric vehicles. Watch the video to learn where the U.S. sources its nickel. https://t.co/iBPHoWG5Iy https://t.co/u6Q43RQiRM,1609566113515331586,7,7,16,39311,3,https://pbs.twimg.com/amplify_video_thumb/1505925184984915969/img/dhaXXaNfw0-W3l1r.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Mashable,https://x.com/mashable,mashable,True,2023-01-01 19:40:30+00:00,False,This experimental road is one very long charger for electric vehicles https://t.co/rq1P2OFYmd,1609635696142155777,6,10,26,29639,3,https://pbs.twimg.com/amplify_video_thumb/1311655826357129217/img/ik-Ck2nP_w7s2LLG.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",ScanMyPhotos.com® 💖 SINCE 1990,https://x.com/ScanmyphotosC,ScanmyphotosC,True,2023-01-01 19:00:42+00:00,False,"#CES2023 West Hall has 300 exhibitors from across the automotive sectors, self-driving tech, electric vehicles and personal mobility devices. At the West Hall you will find: - 
Amazon for Auto, Brunswick, Caterpillar, Corning, Garmin, GM, John Deere, Magna, Mercedes Benz... https://t.co/iGyZozXz9t",1609625683453693952,0,1,1,218,0,https://pbs.twimg.com/ext_tw_video_thumb/1609619229866889222/pu/img/ERU9EpE_54BjczMx.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Aaron Hargreaves,https://x.com/204aaron,204aaron,False,2023-01-01 19:00:26+00:00,False,"This is gonna destroy electric vehicles and is better for the environment.

https://t.co/fsxrwHjWbI",1609625614968815617,4,3,35,13737,1,,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",The Columbian,https://x.com/thecolumbian,thecolumbian,False,2023-01-01 18:00:12+00:00,False,Transportation reporter William Seekamp is working on a story about electric vehicles and is looking to talk to Clark County residents who recently purchased an electric vehicle or are planning to buy one in the near future. Contact him at William.Seekamp@Columbian.com. https://t.co/vB8RyyeCaK,1609610456376770560,1,1,5,1773,0,https://pbs.twimg.com/media/FlZ8LPQWAAEqJwe.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Amnonymous Art,https://x.com/AmnonymousA,AmnonymousA,False,2023-01-01 21:12:15+00:00,False,Big oil is still campaigning against electric vehicles https://t.co/8DXVikpXfc,1609658788868689920,0,0,0,11,0,https://pbs.twimg.com/media/FlaoIsOaMAAjRYd.jpg,False,,,,,en
electric vehicles,"https://x.com/search?q=""electric vehicles"" lang:en until:2023-01-02 since:2023-01-01&src=typed_query",Craig T. Hall,https://x.com/craigthall,craigthall,False,2023-01-01 21:50:00+00:00,False,"Hertz expanded its fleet of electric rental cars — then, its profits exploded. Hertz discovered that electric vehicles are between 50-60% cheaper to maintain than gasoline-powered cars. https://t.co/aGdVprOjbT https://t.co/djxxjcBMjW",1609668289130545154,0,0,1,19,0,https://pbs.twimg.com/media/Flawxy8X0AAZrmq.jpg,False,,,,,en
