,Tweet_Content,Labels,Cleaned_Tweets,Sentiment
0,If you ask me $NIO ET7 is on elf the best looking cars all around the world! I really love this electric vehicle! https://t.co/5LH739LEWj,POSITIVE,if you ask me nio et7 is on elf the best looking cars all around the world i really love this electric vehicle,2
1,"Here are the annual UK vehicle registration % for electric vehicles. In December, 1 in 6 cars registered were fully electric - significantly higher than diesel. @CrowdCharge  @DriveElectricUK #electricvehicles #BuildBackBetter 
 [Thanks @SMMT for data] https://t.co/VZsp7Eusv5",POSITIVE,here are the annual uk vehicle registration for electric vehicles in december 1 in 6 cars registered were fully electric significantly higher than diesel electricvehicles buildbackbetter thanks for data,2
2,"Robert Downey Jr. turns his classic cars into electric vehicles as part of a new documentary series, ‘Downey's Dream Cars’ https://t.co/NGv3ekJb9r",NEUTRAL,robert downey jr turns his classic cars into electric vehicles as part of a new documentary series downeys dream cars,1
3,The development of Electric vehicles is becoming increasingly important industry for thematic investors to consider for the long-term. Join us Friday for a free webinar on the prospects of this industry. Logon to our website and an invitation will be sent to your inbox! https://t.co/nzyt50n2Rp,POSITIVE,the development of electric vehicles is becoming increasingly important industry for thematic investors to consider for the longterm join us friday for a free webinar on the prospects of this industry logon to our website and an invitation will be sent to your inbox,2
4,Happy Valentine's day! Today we share out love with electric vehicles ❤️ #valentinesday #loveEVs https://t.co/lq9UN9sq7o,POSITIVE,happy valentines day today we share out love with electric vehicles valentinesday loveevs,2
5,"Petrol and diesel car sales ban could start in 12 years, says Shapps https://t.co/dOXGWbgJmp",NEUTRAL,petrol and diesel car sales ban could start in 12 years says shapps,1
6,electric vehicles on the blockchain.,NEUTRAL,electric vehicles on the blockchain,1
7,"Tip: Stop buying electric vehicles and they stop building them, along with the charging stations to replace fuel and eventually flip the country to ""electric everything"" so they can cut you off with a flip of a switch.",NEGATIVE,tip stop buying electric vehicles and they stop building them along with the charging stations to replace fuel and eventually flip the country to electric everything so they can cut you off with a flip of a switch,0
8,"New research from the Experience Per Mile Advisory Council, guided by Harman and SBD Automotive, looks at the future of electrical vehicles and evolving customer experiences.

The automotive industry is racing towards electric vehicles | ZDNet https://t.co/AsbUs6c4rY https://t.co/g0saMXXNNR",POSITIVE,new research from the experience per mile advisory council guided by harman and sbd automotive looks at the future of electrical vehicles and evolving customer experiences the automotive industry is racing towards electric vehicles zdnet,2
9,"Consumers don’t want electric vehicles without convenient recharging stations available, but landowners don’t want to build stations without demand for them—so what’s next for #EV? Read more in our latest industry brief: https://t.co/Lep4YbuJOB #CRE #sustainability https://t.co/HoWnDy8GFa",NEGATIVE,consumers dont want electric vehicles without convenient recharging stations available but landowners dont want to build stations without demand for themso whats next for ev read more in our latest industry brief cre sustainability,0
10,"AI delivers a battery boost to electric vehicles, slashing testing times #98% #TechRepublic https://t.co/pV2gMmSRqm @TechRepublic https://t.co/DhuMNrxRuh",POSITIVE,ai delivers a battery boost to electric vehicles slashing testing times 98 techrepublic,2
11,Not sure how long people would have survived in their electric vehicles. Just saying. https://t.co/fCB1RcQDz6,NEGATIVE,not sure how long people would have survived in their electric vehicles just saying,0
12,"Discussion on Proposed EPA Regulations for Electric Vehicles, @Heritage hosts – LIVE on C-SPAN https://t.co/H0fvNpDLVb",NEUTRAL,discussion on proposed epa regulations for electric vehicles hosts live on cspan,1
13,"Last year, electric vehicle sales reached a record high, but how will this continued growth impact #claims?

In our latest article, we look at the rise of electric vehicles and our investment in new #technology to analyse Tesla crash data

Read more here https://t.co/zQJBBcXFpW https://t.co/wifqm1Kddm",POSITIVE,last year electric vehicle sales reached a record high but how will this continued growth impact claims in our latest article we look at the rise of electric vehicles and our investment in new technology to analyse tesla crash data read more here,2
14,"It's almost time to welcome the New Era of Smart Mobility. Can you guess what's coming to your gully? Stay tuned to our social handles to catch the action live on 11th Jan. 
Get notified: https://t.co/oodUgI4NqS
#GreavesMovingIndia #AmpereTakeCharge #IndiaElectrifiedWithAmpere https://t.co/wv6v7TYQuj",POSITIVE,its almost time to welcome the new era of smart mobility can you guess whats coming to your gully stay tuned to our social handles to catch the action live on 11th jan get notified greavesmovingindia amperetakecharge indiaelectrifiedwithampere,2
15,Are electric vehicles poised to be the next technological revolution? CR's research has shown strong consumer interest in EVs—and @BBCNews explains how it is likely to happen much more quickly than you think. #CleanerCars https://t.co/w7eERHtr1G,POSITIVE,are electric vehicles poised to be the next technological revolution crs research has shown strong consumer interest in evs and explains how it is likely to happen much more quickly than you think cleaner cars,2
16,"Letter: Use of coal subsiding, making electric vehicles good alternative - The Columbus Dispatch https://t.co/CGKvizwS4M",POSITIVE,letter use of coal subsiding making electric vehicles good alternative the columbus dispatch,2
17,US Infrastructure Investment and Jobs Act of 2021 – Assessing the Potential Impact on Electric Vehicles and Electric Vehicle Infrastructure https://t.co/EtAcYFbg9D #ElectricVehicles https://t.co/gC8bOcMCo5,NEUTRAL,us infrastructure investment and jobs act of 2021 assessing the potential impact on electric vehicles and electric vehicle infrastructure electricvehicles,1
18,"With Model Y deliveries planned to begin this summer, our estimate is Tesla will deliver 506,000 electric vehicles in 2020 excl. SEMI. If Tesla grows sales at 20% a year after 2020 it could deliver 1.05 million vehicles in 2024.
What year will Tesla reach 1 million deliveries?",NEUTRAL,with model y deliveries planned to begin this summer our estimate is tesla will deliver 506000 electric vehicles in 2020 excl semi if tesla grows sales at 20 a year after 2020 it could deliver 105 million vehicles in 2024 what year will tesla reach 1 million deliveries,1
19,"Today president Biden discussed his goal to have components of electric vehicles - batteries and semiconductors made domestically, noting it would spur job growth. If you can’t secure critical metals it’s a losing strategy. We need to mine for METAL INDEPENDENCE #gold #copper #ev https://t.co/rvJyv6lcxP",NEGATIVE,today president biden discussed his goal to have components of electric vehicles batteries and semiconductors made domestically noting it would spur job growth if you cant secure critical metals its a losing strategy we need to mine for metal independence gold copper ev,0
20,"$OPTI Is just getting started people!

1. UVC lighting is the next big thing

2. Optec Fuel Maximizer - an average of 20% fuel savings

3. Electric vehicles in the works

4. Former Amazon Senior Exec joined the board

5. No dilution

$ZHUD $TPTW $RBNW https://t.co/mvJ9QPtLPF",POSITIVE,opti is just getting started people 1 uvc lighting is the next big thing 2 optec fuel maximizer an average of 20 fuel savings 3 electric vehicles in the works 4 former amazon senior exec joined the board 5 no dilution zhud tptw rbnw,2
21,"When will the Biden admin figure out that the whole ""just buy a new electric vehicle"" messaging is asinine and not working? #gasprices #economy #inflation https://t.co/hbOglvdqxd",NEGATIVE,when will the biden admin figure out that the whole just buy a new electric vehicle messaging is asinine and not working gasprices economy inflation,0
22,"My teacher: “Topics that are off the board, meaning you cannot do them:
- legalization of marijuana
- abortion
- mass shootings
- paying college athletes
- electric vehicles”

Me: “Jets made right decision moving on from Sam Darnold”",NEGATIVE,my teacher topics that are off the board meaning you cannot do them legalization of marijuana abortion mass shootings paying college athletes electric vehicles me jets made right decision moving on from sam darnold,0
23,"I am rooting for this car and for Ford. 

We have to get prices down and get electric vehicles out of status symbol territory and into the driveways of everyday folks.  https://t.co/owt7DorOKZ",POSITIVE,i am rooting for this car and for ford we have to get prices down and get electric vehicles out of status symbol territory and into the driveways of everyday folks,2
24,"In Minnesota, lawmakers are debating a host of changes to state law to prepare for the rise of electric vehicles. https://t.co/8XKC31tFr7 by @walkerorenstein #mnleg",POSITIVE,in minnesota lawmakers are debating a host of changes to state law to prepare for the rise of electric vehicles by mnleg,2
25,"The Office for Product Safety and Standards is leading a fresh campaign to raise awareness about potential hazards associated with electric vehicles such as bikes and scooters.
If you have any of these, please always use the correct charger and follow the instructions carefully. https://t.co/v1OXKg9dYO",NEGATIVE,the office for product safety and standards is leading a fresh campaign to raise awareness about potential hazards associated with electric vehicles such as bikes and scooters if you have any of these please always use the correct charger and follow the instructions carefully,0
26,"This is unreal. Biden and the White House shunned Tesla on its 'EV Day' at the behest of UAW. 

Now UAW is trying to block the USA's transition to EVs. 

UAW President cited concerns over what they EVs would look like and impact their membership

$tsla 

https://t.co/CNWxrtYrQf",NEGATIVE,this is unreal biden and the white house shunned tesla on its ev day at the behest of uaw now uaw is trying to block the usas transition to evs uaw president cited concerns over what they evs would look like and impact their membership tsla,0
27,"If Americans drive their electric cars anywhere near as much as they do with their current gas-guzzlers, it would cancel out the carbon reduction brought on by electrification #citylabarchive https://t.co/WoR4EWKCbV",NEGATIVE,if americans drive their electric cars anywhere near as much as they do with their current gasguzzlers it would cancel out the carbon reduction brought on by electrification citylabarchive,0
28,"Electric vehicles are better for the environment - mostly!

Take a look at this article on what you need to know about battery-powered vs fossil fuels: https://t.co/FUAoDR26J7

#EV #ElectricVehicles #battery #FossilFuel https://t.co/lbgcO9R4VJ",POSITIVE,electric vehicles are better for the environment mostly take a look at this article on what you need to know about batterypowered vs fossil fuels ev electricvehicles battery fossilfuel,2
29,"Toyota is recalling all of its new battery-powered sport-utility vehicles because of a potential safety risk regarding its tires, a setback for the electric-vehicle plans of the Japanese auto maker. https://t.co/r95B3178EK",NEGATIVE,toyota is recalling all of its new batterypowered sportutility vehicles because of a potential safety risk regarding its tires a setback for the electricvehicle plans of the japanese auto maker,0
30,"Inflation has reached 8.6% -- the HIGHEST IN 40 YEARS. 

But don't worry, I'm sure Biden will make sure everyone can buy their $70,000 electric vehicle.",NEGATIVE,inflation has reached 86 the highest in 40 years but dont worry im sure biden will make sure everyone can buy their 70000 electric vehicle,0
31,"Yes, electric vehicles really are better than fossil fuel burners https://t.co/8nsOb91v3O, donate for more trees https://t.co/rUjYU4XY5B &amp; ReTweet, #epa",POSITIVE,yes electric vehicles really are better than fossil fuel burners donate for more trees amp retweet epa,2
32,"The government's plug-in car grant (PiCG) has been extended as part of today's #Budget2020 announcement 👍

Electric vehicles will also be exempted from the road-tax surcharge for £40,000+ cars 👍👍

Full story 👉 https://t.co/T1OS251MKu https://t.co/w4iznp9FQ6",POSITIVE,the governments plugin car grant picg has been extended as part of todays budget2020 announcement electric vehicles will also be exempted from the roadtax surcharge for 40000 cars full story,2
33,"This combustion car puzzle isn't going to solve itself! 😮‍💨 DYK that combustion (gasoline burning) and electric vehicles can look the same on the outside but they need different parts to work?

Learn more about Experiencing Energy: https://t.co/En4teO4TCz #EngineersWeek https://t.co/zx3S2OZKnP",NEUTRAL,this combustion car puzzle isnt going to solve itself dyk that combustion gasoline burning and electric vehicles can look the same on the outside but they need different parts to work learn more about experiencing energy engineersweek,1
34,"With the @Europarl_EN vote to ban the sale of new petrol and diesel cars in the EU from 2035, who is addressing the fact that electric vehicles are also sophisticated data platforms, with all associated privacy, security, surveillance and data commerce issues?",NEUTRAL,with the vote to ban the sale of new petrol and diesel cars in the eu from 2035 who is addressing the fact that electric vehicles are also sophisticated data platforms with all associated privacy security surveillance and data commerce issues,1
35,How Soon Will Electric Vehicles Kill The Gasoline Car? https://t.co/Nivn9TmVqA https://t.co/58DlNr2gyz,POSITIVE,how soon will electric vehicles kill the gasolinecar,2
36,Worth a read... #EVs  https://t.co/zL7TG7GgJz,NEUTRAL,worth a read evs,1
37,"#ICYMI: Virginia LCV's Mike Town in @RTDNEWS:

""Electric vehicles are our future. Youngkin can either accept this as fact or put himself further out of touch with reality and his constituents...""

🔗 Read more here: https://t.co/fupicvElOJ",POSITIVE,icymi virginia lcvs mike town in electric vehicles are our future youngkin can either accept this as fact or put himself further out of touch with reality and his constituents read more here,2
38,"Improving #AirQuality is vital to operations at @portofstockton. Implementing practices such as transitioning to electric vehicles and equipment, to requiring docked vessels to shut off their engines are just some of the many ways the Port reduces emissions. https://t.co/9Zargm1SmF",NEUTRAL,improving airquality is vital to operations at implementing practices such as transitioning to electric vehicles and equipment to requiring docked vessels to shut off their engines are just some of the many ways the port reduces emissions,1
39,"This is awesome news!

Combining two of my favorite things:

Electric vehicles &amp; national parks",POSITIVE,this is awesome news combining two of my favorite things electric vehicles amp national parks,2
40,"It’s Energy Efficiency Day!⚡

Did you know that electric vehicles are more energy efficient than petrol and diesel cars?🚗 EV’s tend to be between 85-90% efficient, compared to ICE vehicles at 17-21%! 😲

#evcharging #electricvehicles #energyefficiency  #EnergyEfficiencyDay https://t.co/lgumziQYSM",POSITIVE,its energy efficiency day did you know that electric vehicles are more energy efficient than petrol and diesel cars evs tend to be between 8590 efficient compared to ice vehicles at 1721 evcharging electricvehicles energyefficiency energyefficiencyday,2
41,We're on a mission to reduce our emissions! Proud to be partnering with @haringeycouncil in trialling the latest innovations in electric vehicles. 🚛⚡️,POSITIVE,were on a mission to reduce our emissions proud to be partnering with in trialling the latest innovations in electric vehicles,2
42,Excess electricity from SkyTrain and trolley bus could be used to charge electric vehicles 🔋⚡️ https://t.co/1Bd0MvumKZ,POSITIVE,excess electricity from skytrain and trolley bus could be used to charge electric vehicles,2
43,"The push to electric vehicles is unrealistic and unsustainable. It will not last, but I fear great damage will be done in the meantime.",NEGATIVE,the push to electric vehicles is unrealistic and unsustainable it will not last but i fear great damage will be done in the meantime,0
44,"Here are some of the exciting awards to be won this year at the Electric Vehicle Innovation and Excellence Awards.

View #EVIEs category criteria &gt;&gt; https://t.co/oOOVBba2js

As always it is free to enter!

#EVWorldCongress #electricvehicles #evcharging #evcharginginfrastructure https://t.co/hp8ZkpnJKZ",POSITIVE,here are some of the exciting awards to be won this year at the electric vehicle innovation and excellence awards view evies category criteria gtgt as always it is free to enter evworldcongress electricvehicles evcharging evcharginginfrastructure,2
45,"No relief coming anytime soon, either. 

Unless you magically pull $60,000 out of a hat to buy an electric vehicle.",NEGATIVE,no relief coming anytime soon either unless you magically pull 60000 out of a hat to buy an electric vehicle,0
46,"... the transition to zero emission vehicles over the next decade will see a dramatic change in the skills required ... with apprentices and existing technicians needing the training, experience and infrastructure to service and repair electric vehicles.
https://t.co/QnOPC73Wlx",NEUTRAL,the transition to zero emission vehicles over the next decade will see a dramatic change in the skills required with apprentices and existing technicians needing the training experience and infrastructure to service and repair electric vehicles,1
47,"With the Biden admin rejoining the Paris Climate Agreement, we're proud to share all we've accomplished over the last few years: adopting electric vehicles, implementing clean energy solutions, &amp; building more sustainably, just to name a few. Read more: https://t.co/bANTfUcnZV https://t.co/dIklbgGq88",POSITIVE,with the biden admin rejoining the paris climate agreement were proud to share all weve accomplished over the last few years adopting electric vehicles implementing clean energy solutions amp building more sustainably just to name a few read more,2
48,"Hyundai isn’t putting all of its chips into battery electric vehicles. It does do that too, of course. And it is good at it. But it is also banking on a different type of hybrid powertrain. One that is part hydrogen fuel cell, and part lithium-ion battery. https://t.co/MZqirMcCt2 https://t.co/UW8Z1Zv2oJ",POSITIVE,hyundai isnt putting all of its chips into battery electric vehicles it does do that too of course and it is good at it but it is also banking on a different type of hybrid powertrain one that is part hydrogen fuel cell and part lithiumion battery,2
49,"Podcast: Tesla incredible production numbers, GM unveils Silverado EV and Equinox EV, Ford F-150 Lightning pricing,… https://t.co/Ro3QCLE5T9 https://t.co/wqGn5Q8OqE",POSITIVE,podcast tesla incredible production numbers gm unveils silverado ev and equinox ev ford f150 lightning pricing,2
50,"Hidden in the Recovery Act was something that largely escaped notice— $90 billion earmarked for clean energy generation, electric vehicles, transit, and training for green jobs...that 10 percent chunk ...changed the trajectory of renewables in America.  https://t.co/dboNvjTIM0",POSITIVE,hidden in the recovery act was something that largely escaped notice 90 billion earmarked for clean energy generation electric vehicles transit and training for green jobsthat 10 percent chunk changed the trajectory of renewables in america,2
51,"New phase of electric vehicle charging points installed in Coventry!
The first of a new phase of @char_gy charging points for electric vehicles made by a Coventry based manufacturer have been installed in the company’s home city. https://t.co/hjqVQPM3lt https://t.co/sSqSC27TVZ",POSITIVE,new phase of electric vehicle charging points installed in coventry the first of a new phase of charging points for electric vehicles made by a coventry based manufacturer have been installed in the companys home city,2
52,"China, the world’s biggest car market, aims to boost auto sales and add more charging facilities for electric vehicles this year https://t.co/6riQDmLfRI",POSITIVE,china the worlds biggest car market aims to boost auto sales and add more charging facilities for electric vehicles this year,2
53,"#DYK ➡️ More taxpayer money would be spent on electric vehicles than on roads &amp; bridges in Pres. Biden’s “infrastructure” bill?

On top of this, the shift to EV will also have a devastating impact on Iowa’s ethanol &amp; biodiesel industries—which are critical to our state’s economy. https://t.co/XXCD9sfrhc",NEGATIVE,dyk more taxpayer money would be spent on electric vehicles than on roads amp bridges in pres bidens infrastructure bill on top of this the shift to ev will also have a devastating impact on iowas ethanol amp biodiesel industrieswhich are critical to our states economy,0
54,Thank you President Biden for investing in the American manufacture of electric vehicle charging batteries. EVs are the future!,POSITIVE,thank you president biden for investing in the american manufacture of electric vehicle charging batteries evs are the future,2
55,"NOW HIRING ➡️ Programmer for EV Data Analytics

Join a passionate data analytics team, and build web applications/data analytics tools to research next-generation electric vehicles and improve U.S. vehicle fleet energy efficiency.

Apply: https://t.co/VXqRiZVSpI

#JoboftheWeek https://t.co/em04Ya2odE",POSITIVE,now hiring programmer for ev data analytics join a passionate data analytics team and build web applicationsdata analytics tools to research nextgeneration electric vehicles and improve us vehicle fleet energy efficiency apply joboftheweek,2
56,Any ideas how long before battery degradation starts to hit in these electric vehicles?,NEGATIVE,any ideas how long before battery degradation starts to hit in these electric vehicles,0
