,UTC_Time,Date,Tweet_Content,Manual_Training_Labels,Manual_Testing_Labels
0,2023-01-01 01:56:24+00:00,2023-01-01,"Free unlimited data, calls, text with an ID card and EBT card in America. What’s next, free electric vehicles for welfare recipients?

America is being dismantled from within. https://t.co/SQtcFlTBBM",nan,nan
1,2023-01-01 17:06:22+00:00,2023-01-01,"👉 10 years of EV growth

In 2011, around 55,000 electric vehicles (EVs) were sold around the world. 10 years later in 2021, that figure had grown close to 7 million vehicles. https://t.co/cKBgx3jW8r",nan,nan
2,2023-01-01 13:42:00+00:00,2023-01-01,The world’s first commercial solar electric vehicles are hitting the U.S. and European markets in the next few years. That's right: cars powered by the sun are coming. https://t.co/9Dz2IgXQhN https://t.co/vTKUtsE654,nan,nan
3,2023-01-01 15:04:00+00:00,2023-01-01,Nickel is a key component in most lithium-ion batteries used in electric vehicles. Watch the video to learn where the U.S. sources its nickel. https://t.co/iBPHoWG5Iy https://t.co/u6Q43RQiRM,nan,nan
4,2023-01-01 19:40:30+00:00,2023-01-01,This experimental road is one very long charger for electric vehicles https://t.co/rq1P2OFYmd,nan,nan
5,2023-01-01 19:00:42+00:00,2023-01-01,"#CES2023 West Hall has 300 exhibitors from across the automotive sectors, self-driving tech, electric vehicles and personal mobility devices. At the West Hall you will find: - 
Amazon for Auto, Brunswick, Caterpillar, Corning, Garmin, GM, John Deere, Magna, Mercedes Benz... https://t.co/iGyZozXz9t",nan,nan
6,2023-01-01 19:00:26+00:00,2023-01-01,"This is gonna destroy electric vehicles and is better for the environment.

https://t.co/fsxrwHjWbI",nan,nan
7,2023-01-01 18:00:12+00:00,2023-01-01,Transportation reporter William Seekamp is working on a story about electric vehicles and is looking to talk to Clark County residents who recently purchased an electric vehicle or are planning to buy one in the near future. Contact him at William.Seekamp@Columbian.com. https://t.co/vB8RyyeCaK,nan,nan
8,2023-01-01 21:12:15+00:00,2023-01-01,Big oil is still campaigning against electric vehicles https://t.co/8DXVikpXfc,nan,nan
9,2023-01-01 21:50:00+00:00,2023-01-01,"Hertz expanded its fleet of electric rental cars — then, its profits exploded. Hertz discovered that electric vehicles are between 50-60% cheaper to maintain than gasoline-powered cars. https://t.co/aGdVprOjbT https://t.co/djxxjcBMjW",nan,nan
