,UTC_Time,Date,Tweet_Content,Manual_Training_Labels,Is_Training,Manual_Testing_Labels,Is_Testing
22,2023-06-01 15:00:36+00:00,2023-06-01,"In one hour, go live alongside our President &amp; CEO, Sean Samson, and other industry leaders for a discussion about what the future of electric vehicles might look like over the next decade.

Don't miss out:  https://t.co/gzATntz5Gr 

$EVNI.V $GIGA.V $ION.V https://t.co/TN9KL4vT36",Neutral,0,nan,0
80,2023-06-01 12:23:50+00:00,2023-06-01,Einride and UAE Ministry of Energy and Infrastructure Join Forces to Introduce Autonomous Electric Freight Mobility in the Middle East - https://t.co/XUALCjBLCh https://t.co/JU5pZWcxkh,Neutral,0,nan,0
702,2023-06-06 17:17:29+00:00,2023-06-06,"Safety, efficiency, and zero tailpipe emissions—electric vehicles have it all. 🚗⚡️ #EVs #DriveINDI #ElectricVehicle #tuesdaymotivations #YouDoYou https://t.co/oYBeWzF5oP",nan,0,Positive,0
1194,2023-06-11 23:19:16+00:00,2023-06-11,2023 Jun 11 - Central Vancouver Island. Row after row of Vietnamese-made electric vehicles arrive for sale in Canada. https://t.co/aOriRGGX7s,nan,0,Neutral,0
1403,2023-06-12 15:01:37+00:00,2023-06-12,"Discussion on Proposed EPA Regulations for Electric Vehicles, @Heritage hosts – LIVE on C-SPAN https://t.co/H0fvNpDLVb",Neutral,0,nan,0
1538,2023-06-13 16:55:22+00:00,2023-06-13,"Electric vehicles are unlike normal vehicles in that they have special shipping requirements....READ More #costtoshipacar #electricvehiclessensitivebatteries #evcarshipping #insurancecoverage #shipcartohawaii #shipelectricvehiclessafely

https://t.co/Jg570iKvij https://t.co/7hxBC44Xp0",nan,0,Neutral,0
1592,2023-06-13 23:00:00+00:00,2023-06-13,"A recent price drop for Tesla’s (@Tesla) Model 3 and Model Y electric vehicles have made the cars eligible again for a California EV rebate, and now the incentive program is quickly running out of money.
✏️: Elaine Goodman
#EnergyTwitter #EnergyMarkets #EnergyNews",nan,0,Neutral,0
1600,2023-06-14 16:48:45+00:00,2023-06-14,"Kees Jansen, Director of EV Service  Delivery, informs our journalists BC Hydro is helping the province get prepared for the adoption of electric vehicles (EVs) through education, rebates, infrastructure, and electrical grid readiness. #bchydro #ajacecorun #L’Ecorandonnée #evs https://t.co/67zcmzjbFz",Positive,0,nan,0
1786,2023-06-16 15:28:54+00:00,2023-06-16,"Uh Oh, Electric Vehicles Are More Dangerous Than Conventional Vehicles
Electric cars are so heavy that a gasoline car doesn’t have a chance against it in a car crash, making electric cars a safety hazard. Batteries are heavy.
https://t.co/K30eknlgW3 https://t.co/B68Qdp6Uze",Negative,0,nan,0
1885,2023-06-16 15:13:25+00:00,2023-06-16,"A field of 10K electric vehicles in China. 

https://t.co/aVU8ldaZWr",Neutral,0,nan,0
1896,2023-06-16 12:41:35+00:00,2023-06-16,"Starting next year, owners of electric vehicles made by General Motors and Ford will be able to charge their EVs at many of Tesla’s charging stations, the largest such network in the country.
https://t.co/MtJkO8mEqA",Neutral,0,nan,0
1937,2023-06-17 15:06:00+00:00,2023-06-17,"The Office for Product Safety and Standards is leading a fresh campaign to raise awareness about potential hazards associated with electric vehicles such as bikes and scooters.
If you have any of these, please always use the correct charger and follow the instructions carefully. https://t.co/v1OXKg9dYO",nan,0,Neutral,0
2041,2023-06-17 02:15:13+00:00,2023-06-17,Heard that Tailing Electric Vehicles is going to have a new friend. Any idea? https://t.co/D8OBkLUGgt,nan,0,Neutral,0
2363,2023-06-20 09:20:00+00:00,2023-06-20,"Robert Downey Jr. turns his classic cars into electric vehicles as part of a new documentary series, ‘Downey's Dream Cars’ https://t.co/NGv3ekJb9r",Neutral,0,nan,0
2403,2023-06-20 19:35:36+00:00,2023-06-20,"Liz Allan and Jonathan Jenkins - The need for accessible electric vehicles, and wheelchair-accessible vehicles, the importance of accessible ChargePoints and how to drive change with disabled people in mind.

https://t.co/gZF7PTn6WL

#mobility #electricvehiclecharging https://t.co/XuvsV0DID1",Neutral,0,nan,0
2564,2023-06-21 14:00:00+00:00,2023-06-21,We're on a mission to reduce our emissions! Proud to be partnering with @haringeycouncil in trialling the latest innovations in electric vehicles. 🚛⚡️,Positive,0,nan,0
2996,2023-06-27 19:20:00+00:00,2023-06-27,Excess electricity from SkyTrain and trolley bus could be used to charge electric vehicles 🔋⚡️ https://t.co/1Bd0MvumKZ,Neutral,0,nan,0
3139,2023-06-28 14:36:10+00:00,2023-06-28,Volkswagen Shares Recover Slightly as EV Demand Stabilizes and Production Cut Raises Concerns - https://t.co/sogJGn5KZ1 https://t.co/10J8P8GkiI,Neutral,0,nan,0
3156,2023-06-28 17:36:23+00:00,2023-06-28,Any ideas how long before battery degradation starts to hit in these electric vehicles?,Neutral,0,nan,0
3321,2023-06-29 14:28:52+00:00,2023-06-29,Batteries in electric vehicles have more mileage in city driving rather than highway driving https://t.co/wSrhU61sUS via @ConversationCA,Neutral,0,nan,0
3724,2023-07-03 12:49:28+00:00,2023-07-03,"New Approach for Integrating Electric Vehicles into Power Grid
https://t.co/BVzXshI6ZP https://t.co/hcH1iXb9qo",nan,0,Neutral,0
4012,2023-07-08 12:48:20+00:00,2023-07-08,"Some of my favorite applications of our electric vehicles - so versatile from
Nursery to coffee shop to mobile shops and also a bhel shop!

@MahindraLMM https://t.co/JUL5XuAKbh",Positive,0,nan,0
4516,2023-07-13 15:43:22+00:00,2023-07-13,"Conor McGuire hosted a demonstration of the Rivian R1T “Adventure” pickup truck. Our employees learned firsthand about the benefits of 100% electric vehicles from our resident #sustainability expert. #werewithyou
https://t.co/0TGNzZwj5A https://t.co/I7oXCJymYW",nan,0,Positive,0
4571,2023-07-13 18:07:34+00:00,2023-07-13,"New @pewresearch on #ElectricVehicles:
▪️ 38% are likely to consider an #EV for their next 🚗purchase
▪️ Just 17% are highly confident U.S. will build needed charging infrastructure
▪️ Those optimistic on infrastructure, most likely to consider buying
https://t.co/bu8bjBATsF",nan,0,Neutral,0
4676,2023-07-15 12:49:29+00:00,2023-07-15,"VP Kamala Harris: “When we invest in clean energy and electric vehicles and reduce population, more of our children can breath clean air and drink clean water.”

(RNC RESEARCH) https://t.co/ZZELt0P7eu",Positive,0,nan,0
5052,2023-07-18 16:46:34+00:00,2023-07-18,"Tip: Stop buying electric vehicles and they stop building them, along with the charging stations to replace fuel and eventually flip the country to ""electric everything"" so they can cut you off with a flip of a switch.",Negative,0,nan,0
5246,2023-07-19 13:06:12+00:00,2023-07-19,"Battery technology breakthroughs: Powering the sustainable revolution in electric vehicles
https://t.co/MN5uES50Cl 
#Veteran #Vets #Ohio #Technology is changing our world 🌎 for the better forever!",nan,0,Positive,0
5468,2023-07-22 07:42:21+00:00,2023-07-22,"— The entire world becoming dependent on China for electric vehicles, from supply chains to finished EVs.

We’ve been dependent on mobile phones and didn’t do anything to adapt to EVs on time.

Hopefully is not too late for Western automakers to become the Nokias of EVs.",Neutral,0,nan,0
5699,2023-07-25 11:54:53+00:00,2023-07-25,"More drivers are interested in electric vehicles, and some are taking one for a spin as a sort of “test drive” while on vacation, thanks to them being readily available as rental cars. Learn more: https://t.co/mxSJIDTdie

#EV #ElectricVehicles @evergypower @Hertz @travelks https://t.co/u12EKQ305k",Positive,0,nan,0
5818,2023-07-27 13:54:32+00:00,2023-07-27,"In the UK, the adoption of Electric Vehicles (EVs) has been on the rise, driven by a number of forces. David Kendrick, UHY Manchester CEO, looks into the impact this trend will have on the UK automotive market. https://t.co/8QYryjVEsb https://t.co/jfrIccC1jA",Positive,0,nan,0
5859,2023-07-28 14:27:10+00:00,2023-07-28,"A year ago Rob DeSantis loved Electric Vehicles. Now he’s acting like he hates them. 

Rob is just your typical flip flopping career politician. What a hack! https://t.co/6dSyCYQQKH",nan,0,Neutral,0
5931,2023-07-30 14:08:09+00:00,2023-07-30,"🥴😂😂Despite Massive Taxpayer Subsidies, Electric Vehicles Are &amp;#8216;Piling Up&amp;#8217; At Dealerships &amp;#8211; Why? - https://t.co/iMGYRYmoUq",nan,0,Negative,0
5950,2023-07-30 12:38:39+00:00,2023-07-30,"'Cobalt Red' describes 'horror show' of mining
Smartphones, computers and electric vehicles may be emblems of the modern world, but their rechargeable batteries are frequently powered by cobalt mined by workers laboring in slave-like conditions. https://t.co/UNTFPDXy2c",nan,0,Negative,0
6011,2023-07-30 19:06:54+00:00,2023-07-30,"“Under the new French law, which is due to be fully adopted by parliament by year-end, however, Chinese-made electric vehicles would probably not qualify for incentives, which are worth between €5,000 and €7,000 per car for new electric vehicles.” https://t.co/mQ3VLTTvis",Neutral,0,nan,0
6155,2023-08-01 14:41:28+00:00,2023-08-01,"I wrote the GREEN Act to leverage our tax code to incentivize clean energy. Now, as part of the Inflation Reduction Act, savings are available ⬇

Up to $3,200 for energy efficient appliances
30% for rooftop solar &amp; other clean energy
Up to $7,500 off for electric vehicles",Positive,0,nan,0
6334,2023-08-02 11:10:12+00:00,2023-08-02,"The future of #sustainability goes beyond tech enthusiasts and car fanatics, with electric vehicles leading the way. Find out more: https://t.co/IkK76Xk6xs https://t.co/d1dDdBy9M2",Positive,0,nan,0
6723,2023-08-05 22:34:27+00:00,2023-08-05,Politicians are worried a push to use electric vehicles from China to achieve net zero could have security implications https://t.co/l6Mh7vPvAv,Neutral,0,nan,0
6737,2023-08-05 03:10:10+00:00,2023-08-05,"Experts assure that the conventional fuel-based vehicle market will continue to grow at least for another decade with very few jobs lost. The emerging electric vehicles sector is expected to create new green jobs. Story by @ArathimenonM.  
https://t.co/XzTgf4XsdS",Neutral,0,nan,0
