,Date,Tweet_Content,Manual_Training_Labels
0,2020-01-06,Rivian Electric Vehicles To Offer Alexa Capability https://t.co/FldqbOdxHC https://t.co/WKBczVrNVn,NEUTRAL
1,2020-01-07,RenewOregon: Electric vehicles face an uncertain policy landscape in 2020 #ElectricVehicle via @axios https://t.co/Xp9eUOoGH6 https://t.co/bsuJMC09tJ,NEUTRAL
2,2020-01-07,Really interesting chat about what’s going on with #transportation in San Francisco #micromobility  https://t.co/zUQQU8nm2e,POSITIVE
3,2020-01-07,"As consumers, we're used to a lot of things that make our lives easier with ICE cars. We can fill up practically anywhere, we know how they work, how they shift, we understand them. For electric vehicles, none of that is the same. #CES2020

https://t.co/BWChozt9GJ",NEGATIVE
4,2020-01-13,"With Model Y deliveries planned to begin this summer, our estimate is Tesla will deliver 506,000 electric vehicles in 2020 excl. SEMI. If Tesla grows sales at 20% a year after 2020 it could deliver 1.05 million vehicles in 2024.
What year will Tesla reach 1 million deliveries?",NEUTRAL
5,2020-01-27,GM plans massive plant to build electric vehicles. https://t.co/5HCQ3PYTyf #EV https://t.co/mhf7pxmCZg,NEUTRAL
6,2020-02-08,You develop an innovative Shared #Charging Solution for Electric Vehicles? 🔌 Join @Iberdrola_En's Startup Challenge to win financial &amp; technical support to test your solution together with the industry leader! All info 👉 https://t.co/hczRKlxXoC #Mobility #ElectricVehicle #EV,NEUTRAL
7,2020-02-11,"""Germany and France set out a blueprint for a giant battery factory, advancing Europe’s 5-billion-euro ($5.5-billion) bid to rival the capacity of Tesla Inc. and China to supply the key part for electric vehicles,"" via @latimes 

https://t.co/VYW4gShvKj",NEUTRAL
8,2020-02-12,"Petrol and diesel car sales ban could start in 12 years, says Shapps https://t.co/dOXGWbgJmp",NEUTRAL
9,2020-02-12,"Hyundai taps EV startup Canoo to develop electric vehicles https://t.co/y99aTZb0nt 
#Hyundai #EV #Startup #Canoo #Develop #ElectricVehicles #Hyundai #HyundaiMotors #Platform #LA #LosAngeles #Automaker #Investment #Future #Technology #Cars #Vehicles #Design",NEUTRAL
10,2020-02-14,Happy Valentine's day! Today we share out love with electric vehicles ❤️ #valentinesday #loveEVs https://t.co/lq9UN9sq7o,POSITIVE
11,2020-02-25,We All Can Benefit from More Electric Vehicles https://t.co/DB10l1yrNp https://t.co/UikUbF4Dhl,POSITIVE
12,2020-02-27,It’s certainly Dinky Toy size! Think I prefer the concept 🤔 https://t.co/l2q1sAzUPu,NEGATIVE
13,2020-03-11,"The government's plug-in car grant (PiCG) has been extended as part of today's #Budget2020 announcement 👍

Electric vehicles will also be exempted from the road-tax surcharge for £40,000+ cars 👍👍

Full story 👉 https://t.co/T1OS251MKu https://t.co/w4iznp9FQ6",NEUTRAL
14,2020-03-22,Companies all over the globe have been taking steps to reduce their carbon footprints. One major way to do that is to using more electric vehicles as they are significantly cleaner than gas-powered vehicles. Learn more below: https://t.co/mwr1mKKYIo,POSITIVE
15,2020-03-26,"$LTHM...$3.95 was the bottom thus far... Depending on how you see this market from here you might like this one... Big part of electric vehicles

@PeterLBrandt  @SJosephBurns @MrAaronKlein 
 @kunal00  @Rayner_Teo @Schuldensuehner @jsblokland  @TheStalwart @Ralph_Acampora https://t.co/7UsukfewyE",POSITIVE
16,2020-03-30,"India is embracing #electricvehicles as the solution to its transportation &amp; energy problems. But does this go far enough? 

@RTI_Intl India’s Prasanna Perumal offers 6 reasons why India must look beyond electric vehicles: https://t.co/8KvMeXCxaE https://t.co/JCikVaWbAP",NEUTRAL
17,2020-03-30,Thanks @spartannewsroom for writing about @MI_EIBC's support for more investment into EVs and the @IEI_Michigan report laying out specific steps: https://t.co/512qr0tVpd,NEUTRAL
18,2020-04-10,@ianbremmer A peek into the future when cars in LA will be electric vehicles. #tesla #ev,NEUTRAL
19,2020-04-10,Rethinking the Parking Lot: Electric Vehicles Could Power Microgrids https://t.co/zwLEgEOc5F,NEUTRAL
20,2020-04-12,"REVIEW: Opel Corsa-e

The arrival of the Opel Corsa-e adds another model to the list of highly relevant and appealing electric vehicles.

Find out more in our review: https://t.co/y1fkxQ9r2b https://t.co/iYC4EoozVc",POSITIVE
21,2020-04-12,#evstation Charging Infrastructure is a Major Challenge Facing Electric Vehicles https://t.co/2URiCAktLe,NEUTRAL
22,2020-05-05,"#Abwrackpraemie, why? To create massive demand for electric vehicles let’s introduce acstrict speed limit for Diesel/gasoline-powered cars only of 100km/h",NEUTRAL
23,2020-05-12,"York could become the UK’s first zero-emission city – with just bikes and electric vehicles allowed in 
https://t.co/oKUrFhzosp https://t.co/khjTQ7EXIN",NEUTRAL
24,2020-05-31,"very interesting topic about Electric cars, and Electric Vehicles infrastructure #ABB",POSITIVE
25,2020-06-05,"ATEX Electric Vehicles: Explosion-Proof Vehicles for Dangerous Areas
➡️ https://t.co/geF4f9XiUK https://t.co/H0AoHSYMo0",NEUTRAL
26,2020-06-06,"Excellent article, note particularly the final two paragraphs.  See :  Hydrogen cars won't overtake electric vehicles because they're hampered by the laws of science https://t.co/vKaZwvw2be https://t.co/cal1SdiUUi",NEUTRAL
27,2020-06-08,"https://t.co/GwGuOLc9LW
Swappable batteries gain traction nationwide $NIO #NIO
It was a sign of the nation's approval of a technology that many believe is the answer to people's doubts over electric vehicles. https://t.co/5PK37voigO",POSITIVE
28,2020-06-15,"Many have argued that advancement of electric vehicles (EV) will kill the Oil &amp; Gas industry

It may seem counterintuitive but  petrochemicals esp plastics, a byproduct of oil &amp; gas, makes the today’s EVs possible. Plastic makes EVs lighter, faster &amp; efficient

#LearnOilandGas",NEUTRAL
29,2020-06-17,"IEA:n tuore sähköisen liikenteen ennuste: ""Electric vehicles play a critical role in meeting the environmental goals of the IEA’s Sustainable Development Scenario to reduce local air pollution and to address climate change."" https://t.co/D2Ievvc0YK #EV #emobility #sähköauto",POSITIVE
30,2020-06-20,"$15m pumped into electric vehicles, renewable energy at CentrePort Wellington https://t.co/Z7Sy7HLZrm",NEUTRAL
31,2020-06-26,"The Russian market of new electric vehicles fell by 44% in May

According to the analytical agency ""AUTOSTAT"", in May of 2020, the residents of our country bought 15 new electric cars.  https://t.co/Z8rvy6ORDM",NEUTRAL
32,2020-06-27,"$OPTI Is just getting started people!

1. UVC lighting is the next big thing

2. Optec Fuel Maximizer - an average of 20% fuel savings

3. Electric vehicles in the works

4. Former Amazon Senior Exec joined the board

5. No dilution

$ZHUD $TPTW $RBNW https://t.co/mvJ9QPtLPF",POSITIVE
33,2020-07-05,"When people (including politicians in the  #senedd) talk about Hydrogen being the fuel of the future for transport, remember that it is actually 50% worse at reducing CO2 emissions than battery powered electric vehicles.",POSITIVE
34,2020-07-10,".@ChitkaraU to offer M. Tech in Automotive Engineering in collaboration with ARAI Pune. Pro-Chancellor Dr. Madhu Chitkara affirmed that it is in line with #AtmaNirbharBharat, with India slated to become a global leader in shared mobility and electric vehicles by 2030. https://t.co/eGV73dWokk",NEUTRAL
35,2020-07-10,"Future of electric vehicles on hold after govt hikes tax | https://t.co/UCIWjhJSxO
#Khabarhub #ElectricVehicles #Govt #TaxHike",NEUTRAL
36,2020-07-23,"#GreenEnergy is the only way forward. We are focused on developing a large, cost competitive battery grade #lithium project that can power the world's electric vehicles, technology, and battery storage systems.

Learn more: https://t.co/Xtsd04mG1p  
$PLU #FutureOfMobility https://t.co/iTmM34BfTW",POSITIVE
37,2020-08-02,"WATCH: BMW set out sweeping plans to produce electric vehicles, including a 5-Series sedan, and said management pay would be tied to its meeting climate targets. Read more https://t.co/IvX1YWejdN https://t.co/TMydVhbmes",NEUTRAL
38,2020-08-03,"Tesla Model 3 Had More Sales Than 2nd, 3rd, 4th, 5th, + 6th Best Selling Electric Vehicles In 1st Half Of 2020 ⁦@elonmusk⁩  https://t.co/JsX1etYgaN",NEUTRAL
39,2020-08-03,"Read @Cleantechnica to learn how Dynamic Parcel Distribution, a UK delivery service, has smashed its EV goals 5 months early, with over 700 electric vehicles now on the road. 
#ElectricFleet

 https://t.co/QeM5Y0X1I5",NEUTRAL
40,2020-08-05,"EVs for the win! Electric vehicles though cost more upfront currently , which I think won't be the case in a few years , more than make up with low running cost and service cost .@TeslaClubIN

https://t.co/OExkP6dH0T",POSITIVE
41,2020-08-11,"NOW HIRING ➡️ Programmer for EV Data Analytics

Join a passionate data analytics team, and build web applications/data analytics tools to research next-generation electric vehicles and improve U.S. vehicle fleet energy efficiency.

Apply: https://t.co/VXqRiZVSpI

#JoboftheWeek https://t.co/em04Ya2odE",NEUTRAL
42,2020-08-18,UK Takes the Next STEP in Curbside Electric Vehicle Charging | Electric Vehicles Research https://t.co/6cCSfbNyHz #ev via @EV_Research  @TrydaNiCymru would love to bring these to Wales. @Amanwy,NEUTRAL
43,2020-08-20,"Hidden in the Recovery Act was something that largely escaped notice— $90 billion earmarked for clean energy generation, electric vehicles, transit, and training for green jobs...that 10 percent chunk ...changed the trajectory of renewables in America.  https://t.co/dboNvjTIM0",NEUTRAL
44,2020-08-24,The rare earth magnet industry is projected to grow rapidly over the next 30 years in-line with the adoption of electric vehicles and wind turbines. https://t.co/QZcdGLJ7qy #SDGs,NEUTRAL
45,2020-08-27,Sales of electric cars in Europe overtake those in China https://t.co/GTXOvdue5T,NEUTRAL
46,2020-08-30,"Letter: Use of coal subsiding, making electric vehicles good alternative - The Columbus Dispatch https://t.co/CGKvizwS4M",POSITIVE
47,2020-09-05,Australia’s luxury car tax threshold quietly lifted for electric vehicles https://t.co/AvgNewK9oe no big announcement for this from #scottyfrommarketing,NEUTRAL
48,2020-09-09,"We will be part of the conversations on the opportunities &amp; challenges involved in establishing a UK-wide charging infrastructure at the @cfconferences #EVInfra.

Join us! Simply use EV12GS for a 30% discount when registering: https://t.co/EhKicYBloU

#EV #Electric Vehicles https://t.co/7yapYKBoqP",NEUTRAL
49,2020-09-10,🧑‍🔬🚗🧬 #FUCHSnews: #FUCHSLubricants is expanding its product portfolio with a product line for #electricmobility product range for electric vehicles and the associated components in the future with FUCHS BluEV. https://t.co/GrCoxtqNYP https://t.co/Js0qBiIqdG,NEUTRAL
50,2023-01-04,"State of EV discourse:

""You should only manufacture electric vehicles.""

""Our electric trucks &amp; SUVs are now available.""

""Not the most popular models, just the little ones nobody wants!""",NEUTRAL
51,2023-01-05,"Does the world have enough lithium to move to electric vehicles?
https://t.co/gCay8Sb1v3 https://t.co/5UJ244gPpR",NEUTRAL
52,2023-01-06,"VINFAST AND NXP COLLABORATE ON DEVELOPING NEXT GENERATION OF SMART ELECTRIC VEHICLES
$NXPI",NEUTRAL
53,2023-01-06,The Expensive And Harmful Truth About Electric Vehicles https://t.co/z9QQB7kTns,NEGATIVE
54,2023-01-07,"It's almost time to welcome the New Era of Smart Mobility. Can you guess what's coming to your gully? Stay tuned to our social handles to catch the action live on 11th Jan. 
Get notified: https://t.co/oodUgI4NqS
#GreavesMovingIndia #AmpereTakeCharge #IndiaElectrifiedWithAmpere https://t.co/wv6v7TYQuj",POSITIVE
55,2023-01-09,"Britishvolt is in talks about selling a majority stake.

The firm, which is building a £3.8 billion factory in #Blyth to create batteries for electric vehicles, has struggled to secure backing.

It required emergency funding in November and staff agreed to a temporary pay cut. https://t.co/nXXMEhVj0s",NEUTRAL
56,2023-01-10,"Reminder electric vehicles means vehicles not cars. That’s transit buses and school buses, trucks that bring your groceries to stores, drayage vehicles at the ports, forklifts in warehouses, electric bikes and cars. Prop 30 was to fund decarbonizing the largest emissions bucket",NEUTRAL
57,2023-01-10,Check out Celine53news's video! #TikTok https://t.co/oyw7WIxw88 Elon Musk is having problems in China. Customers want refunds for a flawed vehicle more competition with other electric vehicles companies.,NEUTRAL
58,2023-01-20,#TataMotors is readying multiple futuristic electric vehicles for the Indian market and one of them is the Avinya EV which will launch a couple of years later https://t.co/XH3eB5WuJl,NEUTRAL
59,2023-01-21,"The push to electric vehicles is unrealistic and unsustainable. It will not last, but I fear great damage will be done in the meantime.",NEGATIVE
60,2023-01-24,"The US’s transition to electric vehicles could require three times as much lithium as is currently produced for the entire global market, causing needless water shortages, Indigenous land grabs, and ecosystem destruction inside and outside its borders.  https://t.co/xMalGZoR5i https://t.co/JiNXBcZhpd",NEGATIVE
61,2023-01-25,"More and more people are driving electric vehicles and with the cold weather here, are you wondering how your car would do if you got stuck out in the cold?  This article reveals how the car's battery faired in different climates.  Check it out: https://t.co/gGPL7kZjeK",NEUTRAL
62,2023-01-26,"I've written before about how getting more people on buses and e-bikes is faster and cheaper than swapping gas cars for EVs, but reporting this story helped me think in a new way about how to nudge those changes by treating batteries like a public good  https://t.co/dZrMDJp1lK",NEUTRAL
63,2023-01-28,Electric vehicles more expensive to fuel than gas-powered cars at end of 2022: consulting firm | Fox Business https://t.co/bZ6wFP5JI8,NEGATIVE
64,2023-02-07,"The mineral is critical in the production of batteries for electric vehicles. $ALB $PLL

Read more for free:",NEUTRAL
65,2023-02-09,"Here are pictures of the Pleasant Street Shuttle electric vehicles and the revised schedule service, which is launching Monday, February 13, 2023. More information can be found at https://t.co/VO41sOg2Kl https://t.co/G4SpOIRiNQ",NEUTRAL
66,2023-02-12,Chery To Enter UK Market With Omoda 5 SUV https://t.co/4c1tiZ04zC https://t.co/7AZKWkoorb,NEUTRAL
67,2023-02-15,"California is a national leader in electric vehicles so an announcement that Tesla will open its supercharger network to non-Tesla EVs is big in a state where there are currently about three Tesla plugs for every two chargers provided by other companies.

https://t.co/q6u0NypYjK",NEUTRAL
68,2023-02-17,Prediction: whoever can create a business model that swaps ICE engines or full electric vehicles for H2 will be wealthy.,NEUTRAL
69,2023-02-17,"With the @Europarl_EN vote to ban the sale of new petrol and diesel cars in the EU from 2035, who is addressing the fact that electric vehicles are also sophisticated data platforms, with all associated privacy, security, surveillance and data commerce issues?",NEUTRAL
70,2023-02-20,"Get The Facts on Electric Vehicles. Tonight on #WGAL News 8 at six, we begin a week-long series - Charged. What electric vehicles will mean for our roads, taxes, safety and lifestyle. 8 On Your Side has the answers. https://t.co/6RE8MRqWkK",NEUTRAL
71,2023-02-20,Lack of vehicles and infrastructure hampers efforts to transition federal fleet to electric vehicles https://t.co/kIyu4KLrzx,NEUTRAL
72,2023-02-24,"Improving #AirQuality is vital to operations at @portofstockton. Implementing practices such as transitioning to electric vehicles and equipment, to requiring docked vessels to shut off their engines are just some of the many ways the Port reduces emissions. https://t.co/9Zargm1SmF",NEUTRAL
73,2023-02-27,Important thread on electric vehicles.,NEUTRAL
74,2023-03-01,"Electric Vehicles

What could be under the 300M and 700M vehicle categories?

Configurable van + affordable EV? https://t.co/iD27gyXg6H",NEUTRAL
75,2023-06-01,"In one hour, go live alongside our President &amp; CEO, Sean Samson, and other industry leaders for a discussion about what the future of electric vehicles might look like over the next decade.

Don't miss out:  https://t.co/gzATntz5Gr 

$EVNI.V $GIGA.V $ION.V https://t.co/TN9KL4vT36",NEUTRAL
